timestamp,mac,rssi,channel,veces,ssid
2026-03-24 17:19:39,A4:BD:C4:C5:DD:8C,-78,5,2,JUANDEGARAY
2026-03-24 17:19:39,C2:F9:B0:72:A1:97,-78,5,3,HIDDEN
2026-03-24 17:19:39,6C:D8:19:B6:6A:18,-78,6,3,fh_b66a18
2026-03-24 17:19:39,9A:1A:35:13:46:04,-79,6,2,Claro-Fibra-7B
2026-03-24 17:19:39,14:57:9F:EF:ED:AC,-80,1,2,CLAROCASA
2026-03-24 17:19:39,84:46:FE:B6:FB:D8,-80,3,2,Taiana
2026-03-24 17:19:39,B0:EC:DD:EE:A0:84,-80,4,2,Clarointernet
2026-03-24 17:19:39,C2:F9:B0:72:A1:94,-80,5,3,Claro-Fibra-3PA
2026-03-24 17:19:39,F2:81:75:22:01:B7,-81,1,2,Personal Wifi Zone
2026-03-24 17:19:39,B8:8C:2B:68:96:25,-81,11,2,Baucerowifi-2.4Ghz
2026-03-24 17:19:39,98:1E:19:BB:16:50,-82,1,2,Fibertel WiFi053 2.4GHz
2026-03-24 17:19:39,9A:1E:19:BB:17:54,-82,1,3,Personal Wifi Zone
2026-03-24 17:19:39,6C:D8:19:B5:5F:18,-82,6,1,fh_b55f18
2026-03-24 17:19:39,F8:08:4F:3D:A0:84,-83,1,2,Fibertel WiFi353 2.4GHz
2026-03-24 17:19:39,92:58:51:8F:88:3C,-84,1,3,Personal Wifi Zone
2026-03-24 17:19:39,CC:F3:C8:15:60:E8,-84,1,3,Personal-0E4
2026-03-24 17:19:39,90:F8:91:68:7F:FD,-85,1,1,Muchiut 2.4GHZ**
2026-03-24 17:19:39,3A:17:B1:7A:82:01,-85,6,2,Personal Wifi Zone
2026-03-24 17:19:39,F0:25:8E:DE:32:04,-85,7,2,ESTUDIOCOSSETTINI
2026-03-24 17:19:39,18:3D:5E:22:D4:84,-86,1,3,casaestudio
2026-03-24 17:19:39,CE:F3:C8:15:60:EC,-86,1,3,Personal Wifi Zone
2026-03-24 17:19:39,C2:E1:BE:77:77:DC,-87,1,3,ClaroFibra5
2026-03-24 17:19:39,6C:BA:B8:EC:95:BD,-88,1,2,fibercorp WiFi 616
2026-03-24 17:19:39,B0:4E:26:5B:A2:F1,-88,6,1,HIDDEN
2026-03-24 17:19:39,62:88:C7:1B:18:CB,-88,6,1,Personal Wifi Zone
2026-03-24 17:19:39,CA:84:CF:00:91:77,-90,1,2,HIDDEN
2026-03-24 17:19:39,44:22:7C:AE:95:6C,-90,3,1,Alcober
2026-03-24 17:19:39,8E:83:E8:FC:A5:D3,-90,7,2,HIDDEN
2026-03-24 17:19:39,6C:D8:19:B6:02:80,-91,1,3,fh_b60280
2026-03-24 17:19:39,D0:C6:5B:3C:19:FC,-91,4,1,claroalf
2026-03-24 17:19:48,9A:F0:83:9E:2D:70,-43,6,4,Claro-Fibra-2.4G-3523
2026-03-24 17:19:48,9A:F0:83:9E:2D:73,-45,6,4,HIDDEN
2026-03-24 17:19:48,3C:B7:4B:43:0E:38,-47,11,3,Personal-E34
2026-03-24 17:19:48,3E:B7:4B:43:0E:39,-47,11,4,Personal Wifi Zone
2026-03-24 17:19:48,D0:57:94:6C:78:A6,-48,11,4,Personal-8A1
2026-03-24 17:19:48,D2:57:94:6C:79:A2,-50,11,4,Personal Wifi Zone
2026-03-24 17:19:48,7E:33:F9:78:97:CF,-59,7,4,HIDDEN
2026-03-24 17:19:48,7E:33:F9:78:97:CC,-60,7,4,GOMEZ
2026-03-24 17:19:48,9C:71:3A:64:85:08,-66,9,2,CLARO
2026-03-24 17:19:48,7E:33:F9:78:79:93,-68,3,4,HIDDEN
2026-03-24 17:19:48,08:7E:64:8F:D5:E0,-68,11,4,Carla
2026-03-24 17:19:48,3A:3F:B3:DC:EE:FC,-68,11,4,Personal Wifi Zone
2026-03-24 17:19:48,7E:33:F9:78:79:90,-69,3,4,CLARO3077
2026-03-24 17:19:48,D8:07:B6:F7:66:88,-69,6,3,TP-Link_6688
2026-03-24 17:19:48,44:D4:54:D3:47:57,-69,11,4,Personal-752
2026-03-24 17:19:48,0A:7E:64:8F:D5:E4,-69,11,4,Personal Wifi Zone
2026-03-24 17:19:48,46:D4:54:D3:48:53,-70,11,4,Personal Wifi Zone
2026-03-24 17:19:48,A2:FF:70:D5:36:94,-72,1,4,Personal Wifi Zone
2026-03-24 17:19:48,58:2F:F7:98:4F:7F,-72,11,4,Personal-F7A-2.4GHz
2026-03-24 17:19:48,5A:2F:F7:98:50:7B,-72,11,3,Personal Wifi Zone
2026-03-24 17:19:48,A0:FF:70:D5:36:90,-74,1,4,CASAM 2.4Ghz
2026-03-24 17:19:48,96:90:10:D4:BC:94,-74,2,4,Clarojbk
2026-03-24 17:19:48,96:90:10:D4:BC:97,-74,2,4,HIDDEN
2026-03-24 17:19:48,7A:EB:46:73:61:C0,-74,6,4,Fibertel WiFi269 2.4GHz
2026-03-24 17:19:48,84:46:FE:99:40:10,-74,9,2,CLAROCASA
2026-03-24 17:19:48,7A:EB:46:73:61:C3,-75,6,4,Personal Wifi Zone
2026-03-24 17:19:48,B0:EC:DD:EE:A0:84,-76,4,3,Clarointernet
2026-03-24 17:19:48,9A:1A:35:13:46:07,-77,6,3,HIDDEN
2026-03-24 17:19:48,14:57:9F:EF:ED:AC,-79,1,3,CLAROCASA
2026-03-24 17:19:48,90:58:51:8F:88:38,-79,1,3,Fibertel WiFi143 2.4GHz
2026-03-24 17:19:48,9A:1A:35:13:46:04,-79,6,3,Claro-Fibra-7B
2026-03-24 17:19:48,6C:D8:19:B6:6A:18,-79,6,4,fh_b66a18
2026-03-24 17:19:48,F2:81:75:22:01:B7,-80,1,3,Personal Wifi Zone
2026-03-24 17:19:48,C2:F9:B0:72:A1:97,-80,5,4,HIDDEN
2026-03-24 17:19:48,A4:BD:C4:C5:DD:8C,-81,5,3,JUANDEGARAY
2026-03-24 17:19:48,F0:81:75:22:00:B3,-82,1,3,Wifi pochi
2026-03-24 17:19:48,F0:9B:B8:BD:05:2C,-82,3,1,Bonzi
2026-03-24 17:19:48,0A:02:05:5E:86:48,-82,4,1,Regis
2026-03-24 17:19:48,F0:25:8E:DE:32:04,-82,7,3,ESTUDIOCOSSETTINI
2026-03-24 17:19:48,BA:8C:2B:68:96:21,-82,11,1,Personal Wifi Zone
2026-03-24 17:19:48,C2:E1:BE:77:77:DC,-83,1,4,ClaroFibra5
2026-03-24 17:19:48,6C:BA:B8:EC:95:BD,-83,1,3,fibercorp WiFi 616
2026-03-24 17:19:48,04:8C:16:57:75:98,-83,5,1,VICTORIA
2026-03-24 17:19:48,C2:E1:BE:77:77:DF,-84,1,2,HIDDEN
2026-03-24 17:19:48,CA:84:CF:9A:42:48,-84,6,3,Roque
2026-03-24 17:19:48,CA:84:CF:9A:42:4B,-84,6,3,HIDDEN
2026-03-24 17:19:48,6C:D8:19:B5:9F:A8,-84,9,2,fh_b59fa8
2026-03-24 17:19:48,6C:D8:19:B6:02:80,-85,1,4,fh_b60280
2026-03-24 17:19:48,98:DA:C4:E0:36:62,-85,4,1,ASOEM P3
2026-03-24 17:19:48,B2:C7:87:C2:96:27,-86,1,3,Personal Wifi Zone
2026-03-24 17:19:48,92:58:51:8F:88:3C,-86,1,4,Personal Wifi Zone
2026-03-24 17:19:48,84:46:FE:B6:FB:D8,-86,3,3,Taiana
2026-03-24 17:19:48,44:22:7C:AE:95:6C,-86,3,2,Alcober
2026-03-24 17:19:48,2E:0B:AB:4C:B0:13,-86,6,2,Personal Wifi Zone
2026-03-24 17:19:48,F0:09:0D:6A:90:4A,-86,10,1,Electra 2.0
2026-03-24 17:19:48,18:3D:5E:22:D4:84,-87,1,4,casaestudio
2026-03-24 17:19:48,F6:09:0D:6A:90:4A,-87,10,1,HIDDEN
2026-03-24 17:19:48,B8:8C:2B:68:96:25,-87,11,3,Baucerowifi-2.4Ghz
2026-03-24 17:19:48,84:01:12:30:99:CD,-88,6,1,Personal-9C8 2.4GHz
2026-03-24 17:19:48,08:7E:64:93:84:D0,-88,11,2,Fibertel WiFi976 2.4GHz
2026-03-24 17:19:48,CE:00:F1:C7:7F:AE,-89,1,1,Personal Wifi Zone
2026-03-24 17:19:48,CE:F3:C8:15:60:EC,-89,1,4,Personal Wifi Zone
